,longitude,latitude,hashtags,date_taken,url,cluster
40610,4.8336,45.768,"[france, lyon, fr, rhônealpes, vision:outdoor=0911, vision:dark=0845]",6/12/2013_21:49,http://farm6.staticflickr.com/5477/11312887495_0c689c4d3a_t.jpg,0
50166,4.8336,45.767,"[light, france, festival, lights, europe, lyon, rhône, 69, fête, premier, 2009, festivaloflights, lumières, 1er, december8th, fêtedeslumières, 8décembre, grandlyon, rhônealpes, december8, 8dec, dec8, 8december, 1erarrondissement, 69001, 8thdecember, lyon1, premierarrondissement, fêtedeslumières2009]",7/12/2009_19:37,http://farm3.staticflickr.com/2674/4176231185_456daec6d6_t.jpg,0
59242,4.8334,45.768,"[france, place, lyon, fêtedeslumières, lightfestival, terreaux, 2011, transenocturne]",8/12/2011_22:2,http://farm8.staticflickr.com/7013/6575094235_ee623b163f_t.jpg,0
15952,4.8335,45.768,"[france, lyon, 2007, rhônealpes, fetedeslumieres]",6/12/2007_20:11,http://farm4.staticflickr.com/3173/2284035791_fdbc709d29_t.jpg,0
40552,4.8334,45.767,"[lyon, des, fete, lumieres, 2007, fetes, fetesdeslumieres]",8/12/2007_21:31,http://farm3.staticflickr.com/2401/2097887641_ccafb49521_t.jpg,0
43580,4.8334,45.768,"[france, lyon]",8/12/2012_23:59,http://farm9.staticflickr.com/8083/8273447802_909ff691be_t.jpg,0
24034,4.8336,45.768,"[light, lyon, hoteldeville, mairie, lumieres, placedesterreaux, terreaux, muséedesbeauxarts, fetedeslumieres]",6/12/2009_19:46,http://farm2.staticflickr.com/1031/5187500007_379d790ac0_t.jpg,0
18511,4.8334,45.768,"[travel, winter, france, europe, december, lyon, hiver, 2008, décembre, fêtedeslumières, placedesterreaux]",6/12/2008_23:39,http://farm4.staticflickr.com/3569/3477337485_1fde69ebbe_t.jpg,0
22803,4.834,45.768,"[light, france, lyon, lumiere, fetedeslumieres]",8/12/2007_22:43,http://farm2.staticflickr.com/1294/5190280204_e999397a50_t.jpg,0
43997,4.8333,45.767,[],8/12/2009_18:46,http://farm3.staticflickr.com/2699/4230785365_cd8afc0d4c_t.jpg,0
17753,4.8335,45.767,"[lyon, 2008, lumières]",7/12/2008_22:24,http://farm4.staticflickr.com/3015/3095551041_aebd6b8edf_t.jpg,0
20218,4.8335,45.767,"[night, 350d, lights, lyon, lumière, tamron, nuit, fêtedeslumières, 1750mm]",6/12/2007_23:51,http://farm3.staticflickr.com/2296/2094496501_dc09b51e3a_t.jpg,0
23852,4.8337,45.767,[],8/12/2012_11:31,http://farm9.staticflickr.com/8071/8255055050_1657ff0664_t.jpg,0
18262,4.8334,45.767,"[lyon, 2008, fêtedeslumières]",7/12/2008_22:24,http://farm4.staticflickr.com/3394/3198366925_163889c244_t.jpg,0
48900,4.8334,45.768,"[light, france, festival, lyon, 2008, hôteldeville, fêtedeslumières, 8décembre, placedesterreaux, fetedeslumieres, fetedeslumieres08]",7/12/2008_21:54,http://farm4.staticflickr.com/3138/3108776930_51e321b30b_t.jpg,0
49359,4.8336,45.768,"[light, lyon, lumieres, placedesterreaux, terreaux, muséedesbeauxarts, fetedeslumieres]",6/12/2009_19:43,http://farm2.staticflickr.com/1031/5187493499_e32d324d16_t.jpg,0
29711,4.8331,45.767,"[france, lyon, rhône, highlights, fêtedeslumières, placedesterreaux, rhônealpes, lumières2012, lyonlumières2012, hélènerichardetjeanmichelquesne, skertzoetc]",9/12/2012_21:54,http://farm9.staticflickr.com/8066/8273375328_8b0b2b2a98_t.jpg,0
39798,4.8332,45.767,"[france, lyon, rhône, highlights, fêtedeslumières, placedesterreaux, rhônealpes, lumières2012, lyonlumières2012, hélènerichardetjeanmichelquesne, skertzoetc]",9/12/2012_21:56,http://farm9.staticflickr.com/8073/8272373212_9dcb91320a_t.jpg,0
10891,4.8335,45.767,"[square, squareformat, iphoneography, instagramapp, uploaded:by=instagram, foursquare:venue=4b61b8a8f964a520bc1e2ae3, vision:mountain=054, vision:outdoor=0574]",9/12/2013_23:58,http://farm4.staticflickr.com/3748/11298040276_e34c76f81e_t.jpg,0
29995,4.8335,45.768,"[france, lyon, 2007, rhônealpes, fetedeslumieres]",6/12/2007_20:7,http://farm3.staticflickr.com/2030/2284823720_fea00a0197_t.jpg,0
36789,4.8335,45.768,"[france, lyon, fêtedeslumières]",8/12/2009_22:23,http://farm3.staticflickr.com/2585/4169931057_db12ba525b_t.jpg,0
